ANO_INIC_VIG,ANO_INIC_VIG_GERAL,ANO_MES_EMIS_GERAL,ANO_MES_INIC_VIG_APOL,ANO_MODELO,COD_CIA_EMIS,COD_CLASSE_BONUS,COD_PROD,COD_UNID_EMIS,DSC_ESTADO_CIVIL_CONDUTOR,DSC_FAMILIA_VEICULO,DSC_PORTE_VEICULO,DSC_REGIAO_GEO,DSC_REGIONAL_MODEL,DSC_SEGMENTO_VEICULO,DSC_SEXO_CONDUTOR,DT_INIC_ANO_VIG,GR_RISCO_TT,GRUPO_RISCO_BRASIL,IDADE_SEGURADO_F_ATUAL,IDC_ESTADO_CIVIL_CONDUTOR,NME_REGIAO_GEO,NME_REGIAO_POLITICA,NME_REGIAO_RISCO,NUM_APOLICE,NUM_ENDOSSO,QTD_IDADE_CONDUTOR,QTD_IDADE_SEGURADO,QTD_IDADE_VEICULO,QTD_SIN_PP,QTD_SIN_PP_TOTAL,QTD_SIN_PT,QTD_SIN_RB,QTD_SIN_RCF,QTD_SIN_TOTAL,SIG_FABRIC,VAL_LMR_CASCO_FINAL,VAL_LMR_RCF_DM,VAL_PR_ANUAL_CASCO,VAL_PR_ANUAL_RCF_DM,VAL_PR_CASCO,VAL_PR_FINAL_CASCO,VAL_PR_FINAL_RCF_DM,VAL_PR_RISCO_CASCO,VAL_PR_RISCO_RCF_DC,VAL_PR_RISCO_RCF_DM
2019,2019,201909,201909,2018,7110,2,1,78,07.CONDUTOR INDETERMINADO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,NORTE,NORTE/NORDESTE,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2019-08-01 00:00:00,0,7,0,,NORTE,POL_AMAZONAS,NORTE,6823170,0,0,999,1,0,0,0,0,0,0,RANDO,63233,0,3758.68,0,3758.68,0,0,1359.936,0,0
2019,2019,201909,201812,2014,7110,0,1,337,05.SEM INFORMACAO,SPIN,MEDIO,SUDESTE,RJ,INTERMEDIARIO,04.SEM INFORMACAO,2019-01-01 00:00:00,0,9,119,,SUDESTE,RJ_CIDADE RJ - BARRAJAC 3,RJ_CIDADE RJ - BARRAJAC 3,13347700,8070806,0,999,4,0,0,0,0,0,0,GM,42189.3,0,1259.03,0,0,0,0,0,0,0
2019,2019,201907,201810,2017,7110,0,3,35,05.SEM INFORMACAO,ONIX,PEQUENO,NORDESTE,NORTE/NORDESTE,STANDARD,04.SEM INFORMACAO,2019-01-01 00:00:00,0,1,119,,NORDESTE,RN_LESTE POTIGUAR,RN_MESO LESTE POTIGUAR,6048360,4448502,0,999,99,0,0,0,0,0,0,GM,0,0,0,805.17,0,0,0,0,0,0
2020,2020,202002,202002,2018,7110,0,1,94,07.CONDUTOR INDETERMINADO,NAO INFORMADO,CARROCERIA ABERTA 2 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2019-08-01 00:00:00,0,10,0,,SUL,REG_POL_RS_MUNIC_CAXIAS_DO_SUL,RS_MICRO CAXIAS DO SUL,12053820,0,0,999,2,0,0,0,0,0,0,FACCH,100000,0,9775.46,0,9775.46,0,0,3267.904,0,0
2019,2019,201905,201905,1997,7110,5,1,94,07.CONDUTOR INDETERMINADO,NAO INFORMADO,TANQUE / SILO 3 EIXOS,SUL,SUL,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2018-08-01 00:00:00,0,1,0,,SUL,REG_POL_RS_PELOTAS_OUTROS_SAO_GABRIEL,RS_DEMAIS,10858520,0,0,999,22,0,0,0,0,0,0,GUERR,40000,0,1356.36,0,1356.36,0,0,278.345,0,0
2019,2019,201904,201806,2012,7110,6,74,221,06.MISSING,NAO INFORMADO,PESADO,SUDESTE,SP INT,DISTRIBUICAO / MEDIAS DISTANCIAS,03.MISSING,2018-08-01 00:00:00,0,1,119,,SUDESTE,SP_MESO_MACRO METROPOLITANA PAULISTA_1,SP_MESO MACRO METROPOLITANA PAULISTA,6489160,5671990,0,999,99,0,0,0,0,0,0,VW,0,0,4886.44,900.9,0,0,0,0,0,0
2020,2020,202003,202002,2007,7110,10,1,60,05.SEM INFORMACAO,NAO INFORMADO,ISOTERMICO ACIMA DE 2 EIXOS,SUDESTE,SP,DISTRIBUICAO / LONGAS DISTANCIAS,01.MASCULINO,2019-08-01 00:00:00,0,9,48, ,SUDESTE,SP_MICRO OSASCO 3,SP_MICRO OSASCO 3,39731170,37597191,47,999,13,0,0,0,0,0,0,RANDO,69000,0,3918.81,0,0,0,0,0,0,0
2019,2019,201912,201912,2019,7110,0,1,78,05.SEM INFORMACAO,NAO INFORMADO,CARROCERIA ABERTA 2 EIXOS,SUDESTE,SP INT,DISTRIBUICAO / LONGAS DISTANCIAS,04.SEM INFORMACAO,2019-08-01 00:00:00,0,9,0,,SUDESTE,ITAPEVA,SP_DEMAIS,6987530,0,0,999,0.5,0,0,0,0,0,0,RANDO,107400,0,6507.16,0,6507.16,0,0,5019.763,0,0
2019,2019,201909,201905,2011,7110,2,74,337,06.MISSING,NAO INFORMADO,MEDIO,SUDESTE,SP,DISTRIBUICAO / MEDIAS DISTANCIAS,03.MISSING,2019-08-01 00:00:00,0,1,120,,SUDESTE,SP_CIDADE SAO PAULO - ZONA LESTE 1 2,SP_CIDADE SAO PAULO - ZONA LESTE 1 2,13627690,8091510,0,999,99,0,0,0,0,0,0,VW,0,0,1150.06,221.71,0,0,0,0,0,0
2019,2019,201912,201912,2013,7110,10,1,35,07.CONDUTOR INDETERMINADO,NAO INFORMADO,CARROCERIA FECHADA ACIMA DE 2 EIXOS,NORDESTE,NORTE/NORDESTE,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2019-08-01 00:00:00,0,7,0,,NORDESTE,POL_PE_AGRESTE PERNAMBUCANO,PE_MESO AGRESTE PERNAMBUCANO,7204711,0,0,999,6,0,0,0,0,0,0,ROSSE,65000,0,3347.67,0,3347.67,0,0,1022.261,0,0
2019,2019,202001,201911,2011,7110,9,74,337,06.MISSING,NAO INFORMADO,PESADO,SUDESTE,MG/ES,DISTRIBUICAO / MEDIAS DISTANCIAS,03.MISSING,2019-08-01 00:00:00,0,1,120,,SUDESTE,MG_PARACATU V2,MG_DEMAIS,14090800,8262012,0,52,99,0,0,0,0,0,0,VW,0,0,998.63,152.57,0,0,0,0,0,0
2020,2020,202004,202002,2013,7110,6,1,124,07.CONDUTOR INDETERMINADO,NAO INFORMADO,CARROCERIA ABERTA ACIMA DE 2 EIXOS,CENTRO-OESTE,CO,DISTRIBUICAO / LONGAS DISTANCIAS,05.CONDUTOR INDETERMINADO,2019-08-01 00:00:00,0,9,121,,CENTRO-OESTE,GO_MEIA PONTE,GO_MESO SUL GOIANO,2399351,8457530,0,57,7,0,0,0,0,0,0,GUERR,95000,0,6971.61,0,0,0,0,0,0,0
2020,2020,202004,201910,2019,7110,0,3,132,05.SEM INFORMACAO,PRISMA,COMPACTO,SUDESTE,RJ,POPULAR / ENTRADA,04.SEM INFORMACAO,2020-01-01 00:00:00,0,1,120,,SUDESTE,RJ_CIDADE RJ - BARRAJAC 1.1,RJ_CIDADE RJ - BARRAJAC 1,33755360,18742998,0,999,0.5,0,0,0,0,0,0,GM,0,50000,0,817.13,0,0,574.05,0,9.674,193.475
2019,2019,201909,201908,2013,7110,10,3,132,05.SEM INFORMACAO,COBALT,PEQUENO,SUDESTE,RJ,STANDARD,04.SEM INFORMACAO,2019-01-01 00:00:00,0,1,0,,SUDESTE,RJ_CIDADE RJ - ZONA NORTE 9,RJ_CIDADE RJ - ZONA NORTE 9,33456300,0,0,999,6,0,0,0,0,0,0,GM,0,25000,0,91.29,0,0,134.958,0,2.712,34.899
2019,2019,201904,201904,2012,7110,10,4,108,01.CASADO,CAT 15/21,MEDIO,SUDESTE,MG/ES,INTERMEDIARIO,02.FEMININO,2019-01-01 00:00:00,0,1,51,C,SUDESTE,MG_DEMAIS CENTRAL,MG_DEMAIS,12636100,6385036,50,51,99,0,0,0,0,0,0,DODGE,0,0,752.36,649.43,0,0,0,0,0,0
